date,region,ev_sales,charging_stations,ev_subsidy_inr,avg_range_km,Registered_Ev_count,Fuel_price_INR,Region_population,Region_Ev_buyers
2018-01,North,491,48,38000,292,982,90,1116800,461
2018-02,North,532,51,38000,292,1596,90,1335945,430
2018-03,North,573,54,38000,292,1719,97,2383600,807
2018-04,North,614,57,38000,292,1228,97,3608936,257
2018-05,North,655,60,38000,292,1965,106,3130397,746
2018-06,North,696,63,38000,292,2088,114,5836304,856
2018-07,North,737,66,38000,292,2211,87,3921530,1061
2018-08,North,778,69,38000,292,2334,100,3473467,466
2018-09,North,819,72,38000,292,2457,112,4631777,1007
2018-10,North,860,75,38000,292,2580,106,5703008,1135
2018-11,North,901,78,38000,292,2703,92,3402488,783
2018-12,North,942,81,38000,292,1884,92,923842,527
2019-01,North,984,84,41000,304,1968,96,4429404,747
2019-02,North,1026,87,41000,304,3078,107,2394254,954
2019-03,North,1068,90,41000,304,2136,102,1890885,1025
2019-04,North,1110,93,41000,304,2220,91,5355595,910
2019-05,North,1152,96,41000,304,2304,92,3172088,898
2019-06,North,1194,99,41000,304,2388,103,3455462,883
2019-07,North,1236,102,41000,304,2472,113,2284084,1062
2019-08,North,1278,105,41000,304,3834,96,4529958,1341
2019-09,North,1320,108,41000,304,2640,104,5982908,607
2019-10,North,1362,111,41000,304,4086,102,4706018,1225
2019-11,North,1404,114,41000,304,4212,94,5458438,1853
2019-12,North,1446,117,41000,304,2892,114,2866180,1185
2020-01,North,1489,120,44000,316,2978,99,1216086,1429
2020-02,North,1532,123,44000,316,4596,106,1741211,2114
2020-03,North,1575,126,44000,316,4725,94,2263537,1937
2020-04,North,1618,129,44000,316,4854,110,4294595,1650
2020-05,North,1661,132,44000,316,4983,103,1973389,1744
2020-06,North,1704,135,44000,316,3408,85,5929107,715
2020-07,North,1747,138,44000,316,5241,112,3093800,1677
2020-08,North,1790,141,44000,316,3580,94,1375157,1109
2020-09,North,1833,144,44000,316,5499,113,4068685,2474
2020-10,North,1876,147,44000,316,3752,96,4554885,1013
2020-11,North,1919,150,44000,316,5757,102,4529456,1784
2020-12,North,1962,153,44000,316,5886,94,1286030,2707
2021-01,North,2006,156,47000,328,4012,111,2541591,1323
2021-02,North,2050,159,47000,328,6150,85,1204805,1353
2021-03,North,2094,162,47000,328,6282,107,5746977,1319
2021-04,North,2138,165,47000,328,4276,101,4829477,1539
2021-05,North,2182,168,47000,328,4364,95,4555366,916
2021-06,North,2226,171,47000,328,6678,89,1987884,2404
2021-07,North,2270,174,47000,328,4540,109,1034490,953
2021-08,North,2314,177,47000,328,6942,105,5430762,1457
2021-09,North,2358,180,47000,328,7074,88,1478486,2263
2021-10,North,2402,183,47000,328,7206,104,5986286,1873
2021-11,North,2446,186,47000,328,7338,93,2597352,2054
2021-12,North,2490,189,47000,328,7470,109,5703717,2091
2022-01,North,2535,192,50000,340,5070,112,5615195,1673
2022-02,North,2580,195,50000,340,7740,114,2723171,2322
2022-03,North,2625,198,50000,340,5250,112,2020394,2047
2022-04,North,2670,201,50000,340,8010,99,901337,3043
2022-05,North,2715,204,50000,340,8145,108,1329531,1629
2022-06,North,2760,207,50000,340,8280,85,2161955,3560
2022-07,North,2805,210,50000,340,8415,104,4311794,2019
2022-08,North,2850,213,50000,340,5700,93,5927514,2394
2022-09,North,2895,216,50000,340,8685,92,1557284,1737
2022-10,North,2940,219,50000,340,5880,108,3184561,1470
2022-11,North,2985,222,50000,340,5970,98,5791071,2089
2022-12,North,3030,225,50000,340,9090,111,5405950,3545
2023-01,North,3076,228,53000,352,9228,102,5561912,3229
2023-02,North,3122,231,53000,352,6244,109,2624035,2435
2023-03,North,3168,234,53000,352,9504,105,1780965,4276
2023-04,North,3214,237,53000,352,6428,108,4607044,2056
2023-05,North,3260,240,53000,352,9780,85,3104849,3227
2023-06,North,3306,243,53000,352,6612,96,5695032,1983
2023-07,North,3352,246,53000,352,6704,113,4767297,2681
2023-08,North,3398,249,53000,352,6796,89,1852210,1970
2023-09,North,3444,252,53000,352,6888,110,3698030,2479
2023-10,North,3490,255,53000,352,6980,85,3415697,1814
2023-11,North,3536,258,53000,352,10608,95,2778655,4349
2023-12,North,3582,261,53000,352,10746,99,4755517,2471
2024-01,North,3629,264,56000,364,7258,107,5188012,2612
2024-02,North,3676,267,56000,364,7352,113,3844630,1470
2024-03,North,3723,270,56000,364,7446,105,2253518,1563
2024-04,North,3770,273,56000,364,11310,103,2926358,4297
2024-05,North,3817,276,56000,364,11451,89,3955394,2290
2024-06,North,3864,279,56000,364,7728,107,1932307,2395
2024-07,North,3911,282,56000,364,11733,88,3199479,5514
2024-08,North,3958,285,56000,364,7916,111,4597276,3008
2024-09,North,4005,288,56000,364,8010,104,2043193,3043
2024-10,North,4052,291,56000,364,12156,92,4991054,5470
2024-11,North,4099,294,56000,364,8198,93,910738,3443
2024-12,North,4146,297,56000,364,12438,114,1547019,4353
2025-01,North,4194,300,59000,376,12582,98,1699342,4403
2025-02,North,4242,303,59000,376,12726,90,4084192,6108
2025-03,North,4290,306,59000,376,12870,85,2738412,3474
2025-04,North,4338,309,59000,376,13014,93,3532265,6116
2025-05,North,4386,312,59000,376,13158,100,1017508,5789
2025-06,North,4434,315,59000,376,8868,100,1213095,3990
2025-07,North,4482,318,59000,376,13446,106,2223124,6185
2025-08,North,4530,321,59000,376,13590,96,1368528,5979
2025-09,North,4578,324,59000,376,9156,89,2774029,2929
2025-10,North,4626,327,59000,376,9252,92,3793778,3053
2025-11,North,4674,330,59000,376,14022,113,5956691,5328
2025-12,North,4722,333,59000,376,9444,98,2385361,3210
2018-01,South,542,54,41000,304,1084,111,5990375,368
2018-02,South,584,58,41000,304,1752,95,1337681,700
2018-03,South,626,62,41000,304,1878,105,1379214,507
2018-04,South,668,66,41000,304,1336,99,4149437,574
2018-05,South,710,70,41000,304,2130,102,5737891,681
2018-06,South,752,74,41000,304,1504,112,4185066,466
2018-07,South,794,78,41000,304,1588,104,5978612,651
2018-08,South,836,82,41000,304,2508,88,2430346,1178
2018-09,South,878,86,41000,304,1756,94,2582753,561
2018-10,South,920,90,41000,304,1840,103,5919511,644
2018-11,South,962,94,41000,304,1924,106,5163444,942
2018-12,South,1004,98,41000,304,3012,87,2017392,1295
2019-01,South,1047,102,44000,316,3141,104,4706250,973
2019-02,South,1090,106,44000,316,2180,106,3690898,719
2019-03,South,1133,110,44000,316,3399,111,1276860,1665
2019-04,South,1176,114,44000,316,2352,96,3293498,799
2019-05,South,1219,118,44000,316,2438,108,2705143,926
2019-06,South,1262,122,44000,316,2524,113,1037520,605
2019-07,South,1305,126,44000,316,2610,113,947042,1252
2019-08,South,1348,130,44000,316,2696,103,1974790,566
2019-09,South,1391,134,44000,316,4173,98,4184226,1544
2019-10,South,1434,138,44000,316,2868,108,2746644,1061
2019-11,South,1477,142,44000,316,4431,86,3486345,1905
2019-12,South,1520,146,44000,316,3040,91,2715385,1368
2020-01,South,1564,150,47000,328,4692,95,4570628,1689
2020-02,South,1608,154,47000,328,4824,106,1625082,1398
2020-03,South,1652,158,47000,328,4956,101,5185508,2279
2020-04,South,1696,162,47000,328,5088,112,942506,1831
2020-05,South,1740,166,47000,328,5220,101,5442476,1148
2020-06,South,1784,170,47000,328,3568,111,1074305,1248
2020-07,South,1828,174,47000,328,5484,113,2762053,2029
2020-08,South,1872,178,47000,328,5616,88,4721735,2246
2020-09,South,1916,182,47000,328,5748,111,2088768,1494
2020-10,South,1960,186,47000,328,5880,102,3842330,1176
2020-11,South,2004,190,47000,328,4008,95,2975937,1042
2020-12,South,2048,194,47000,328,6144,94,5806201,1966
2021-01,South,2093,198,50000,340,6279,97,1623250,2637
2021-02,South,2138,202,50000,340,4276,98,2472050,1496
2021-03,South,2183,206,50000,340,4366,110,1358396,1309
2021-04,South,2228,210,50000,340,6684,91,2474472,1470
2021-05,South,2273,214,50000,340,4546,91,930105,1272
2021-06,South,2318,218,50000,340,4636,92,2746506,1205
2021-07,South,2363,222,50000,340,4726,93,2325692,1984
2021-08,South,2408,226,50000,340,4816,98,5761586,1974
2021-09,South,2453,230,50000,340,7359,109,3455587,1618
2021-10,South,2498,234,50000,340,7494,92,3634252,3072
2021-11,South,2543,238,50000,340,5086,101,2320086,1017
2021-12,South,2588,242,50000,340,5176,109,2292640,1552
2022-01,South,2634,246,53000,352,7902,107,5153834,2528
2022-02,South,2680,250,53000,352,5360,109,3509859,1232
2022-03,South,2726,254,53000,352,8178,100,5591675,2371
2022-04,South,2772,258,53000,352,8316,110,4434790,3742
2022-05,South,2818,262,53000,352,8454,93,3311411,2282
2022-06,South,2864,266,53000,352,8592,88,5677122,4038
2022-07,South,2910,270,53000,352,5820,91,4047826,2735
