brand,model,vehicle_type,initial_battery_capacity_kwh,current_battery_capacity_kwh,battery_health_pct,range_km,top_speed_kmph,odometer_km,warranty_remaining_years,annual_maintenance_cost,Purchase_Year,Current_Year,Purchase_Price_L,Initial_Mileage,Current_Mileage,Initial_Perf,Current_Perf,Resale_Value_L,Value_for_Money_Score
Ola,Ola S1 Pro,Bike,4.0,2.9,72,180,95,52400,4,12986,2021,2025,137615,186,169,7.66,6.31,59832,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,34.07,87,305,155,49980,5,18468,2022,2025,2461959,295,287,8.01,7.51,1465670,0.9
MG,MG ZS EV,Car,50.0,35.6,71,419,140,91949,1,34257,2018,2025,2689315,423,419,7.51,6.41,782528,0.6
TVS,TVS iQube,Bike,3.4,2.35,69,145,82,67013,2,5855,2019,2025,148122,126,108,8.87,8.01,47544,0.9
Tata,Tata Nexon EV,Car,40.0,35.26,88,312,120,56861,5,21666,2022,2025,1506501,322,309,8.73,7.77,904981,1.1
Ola,Ola S1 Pro,Bike,4.0,3.85,96,180,95,31247,6,7526,2023,2025,161788,192,165,8.53,7.57,120590,1.2
Mahindra,Mahindra XUV400,Car,39.4,35.83,90,375,150,46439,6,22805,2023,2025,1949808,357,309,8.47,7.38,1373117,1.0
Tata,Tata Nexon EV,Car,40.0,30.29,75,312,120,80892,2,23828,2019,2025,1450470,327,302,8.83,7.75,510086,0.8
Ola,Ola S1 Pro,Bike,4.0,2.93,73,180,95,87441,3,18933,2020,2025,152586,200,177,7.52,6.99,58984,0.8
Ola,Ola S1 Pro,Bike,4.0,3.04,76,180,95,67028,4,9930,2021,2025,164753,200,154,7.85,7.12,75089,1.0
Mahindra,Mahindra XUV400,Car,39.4,36.0,91,375,150,41161,6,33453,2023,2025,2100660,357,357,7.7,7.41,1486371,1.0
Tata,Tata Nexon EV,Car,40.0,37.01,92,312,120,29449,6,31879,2023,2025,1540280,292,286,8.43,7.66,1103631,1.0
Ola,Ola S1 Pro,Bike,4.0,4.14,103,180,95,27222,6,4811,2023,2025,137204,200,175,7.54,7.06,109969,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,35.8,91,305,155,42349,6,18856,2023,2025,2230248,325,285,8.95,7.62,1585392,1.1
TVS,TVS iQube,Bike,3.4,3.03,89,145,82,47019,5,3691,2022,2025,144725,130,90,7.59,6.81,87893,1.0
Tata,Tata Nexon EV,Car,40.0,37.1,92,312,120,34210,6,12007,2023,2025,1460546,326,305,8.28,7.34,1049045,1.1
Ola,Ola S1 Pro,Bike,4.0,3.26,81,180,95,71599,2,4500,2019,2025,148642,161,139,8.17,7.06,56259,0.9
Mahindra,Mahindra XUV400,Car,39.4,33.11,84,375,150,66492,4,25131,2021,2025,1971603,356,346,8.28,6.97,993603,0.8
Ather,Ather 450X,Bike,3.7,3.0,81,150,90,48019,5,11441,2022,2025,151196,166,145,7.64,6.25,83542,1.1
Tata,Tata Nexon EV,Car,40.0,37.06,92,312,120,29843,6,27418,2023,2025,1362907,324,319,8.93,8.17,977860,1.2
Ola,Ola S1 Pro,Bike,4.0,3.25,81,180,95,66362,3,3000,2020,2025,143047,174,169,8.4,8.27,61336,0.8
TVS,TVS iQube,Bike,3.4,3.59,105,145,82,21263,7,10869,2024,2025,139784,150,101,7.54,6.47,129884,1.3
Hyundai,Hyundai Kona Electric,Car,39.0,36.17,92,305,155,38370,6,25940,2023,2025,2490669,317,309,8.41,8.4,1788814,1.1
Mahindra,Mahindra XUV400,Car,39.4,34.53,87,375,150,64746,5,28064,2022,2025,2078312,362,318,7.58,6.29,1241249,1.0
MG,MG ZS EV,Car,50.0,44.5,89,419,140,54851,5,37190,2022,2025,2429335,427,406,8.72,8.43,1473416,1.0
Ola,Ola S1 Pro,Bike,4.0,3.25,81,180,95,26941,6,3000,2023,2025,146260,176,165,8.78,8.22,92026,1.0
Tata,Tata Nexon EV,Car,40.0,35.17,87,312,120,60205,5,22009,2022,2025,1366473,316,313,8.38,7.93,818769,1.0
